variable,dataType,encrypted,description,detail,allowedSuffix,measureUnit,allowedValues,valueInfo,provenance,expectedFileExt
id,id,0,Participant ID,"The participant ID is specific to this study, and is auto-assigned by REDCap.",NA,Integer,"[3000000,3009999],[3080000,3089999],[3090000,3099999]",One ID per participant (eligible and ineligible),"file: ""thriveconsent""; variable: ""record_id""",NA
bbs_status,visit_status,0,Status of participant's BBS visit (attended vs not attended),,"s1_r1_e1, s2_r1_e1, s3_r1_e3",Logical,"NA, 0, 1","NA, status unknown | 0, participant has not attended BBS | 1, participant has attended BBS","file: ""bbsra""; variable: ""bbsradebrief""; id: ""bbsratrk_acid""",NA
iqs_data,visit_data,0,Status of participant's IQS data (present on HPC or not),,"s1_r1_e1, s2_r1_e1, s3_r1_e4",Logical,"NA, 0, 1","NA, status unknown | 0, IQS data does not exist | 1, IQS data exists","file: ""iqsclinician"", ""iqschild"", ""iqsparent""",NA
bbs_data,visit_data,0,Status of participant's BBS data (present on HPC or not),,"s1_r1_e1, s2_r1_e1, s3_r1_e5",Logical,"NA, 0, 1","NA, status unknown | 0, At least some BBS data does not exist | 1, All BBS data exists","variables: ""arrow-alert_psychopy"",""all_audacity"",""all_zoom"",""all_eeg"",""all_digi""",NA
iqs_clinician,redcap_data,0,iqs_clinician project status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""iqs-cl-sess-info_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqsclinician""; variable: ""iqsclcompensation""",NA
bbs_RA,redcap_data,0,bbs_RA project status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""bbs-ra-sess-info_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbsra""; variable: ""bbsradebrief""; id: ""bbsratrk_acid""",NA
bfne_b,redcap_data,0,BFNE (v. B) questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqschild""; variable: """"",NA
fpe,redcap_data,0,FPE questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqschild""; variable: """"",NA
spaic,redcap_data,0,SPAI-C questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqschild""; variable: """"",NA
esi,redcap_data,0,ESI questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqschild""; variable: """"",NA
ats,redcap_data,0,ATS questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqschild""; variable: """"",NA
pints,redcap_data,0,PINTS questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqschild""; variable: """"",NA
swcq,redcap_data,0,SWCQ questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqschild""; variable: """"",NA
rcads,redcap_data,0,RCADS questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqschild""; variable: """"",NA
rpeq,redcap_data,0,RPEQ questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqschild""; variable: """"",NA
tsis,redcap_data,0,TSIS questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqschild""; variable: """"",NA
casi,redcap_data,0,CASI questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqschild""; variable: """"",NA
sassy,redcap_data,0,SASSY questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqschild""; variable: """"",NA
socrew,redcap_data,0,SOCREW questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqschild""; variable: """"",NA
erqca,redcap_data,0,ERQ-CA questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqschild""; variable: """"",NA
oopjr,redcap_data,0,OOPjr questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqschild""; variable: """"",NA
ocic,redcap_data,0,OCI-C questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqschild""; variable: """"",NA
mss,redcap_data,0,MSS questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqschild""; variable: """"",NA
edshvsc,redcap_data,0,EDSHVS-C questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqschild""; variable: """"",NA
psb,redcap_data,0,PSB questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqschild""; variable: """"",NA
pds,redcap_data,0,PDS questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqschild""; variable: """"",NA
cyber,redcap_data,0,CYBER questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqschild""; variable: """"",NA
dsmxc,redcap_data,0,DSMXC questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqschild""; variable: """"",NA
csisbnow,redcap_data,0,CSISB NOW questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqschild""; variable: """"",NA
csisblife,redcap_data,0,CSISB LIFE questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqschild""; variable: """"",NA
lsasca,redcap_data,0,LSAS-CA questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqschild""; variable: """"",NA
abq,redcap_data,0,ABQ questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbschild""; variable: """"",NA
bstad,redcap_data,0,BSTAD questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbschild""; variable: """"",NA
physinfo,redcap_data,0,PHYSINFO questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbschild""; variable: """"",NA
rpbic,redcap_data,0,RPBI-C questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbschild""; variable: """"",NA
identitya,redcap_data,0,IDENTITYA questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbschild""; variable: """"",NA
masi_b,redcap_data,0,MASI (v. B) questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbschild""; variable: """"",NA
via,redcap_data,0,VIA questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbschild""; variable: """"",NA
texi_b,redcap_data,0,TEXI (v. B) questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbschild""; variable: """"",NA
yssm,redcap_data,0,YSSM questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbschild""; variable: """"",NA
selfnowa,redcap_data,0,selfnowA questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbschild""; variable: """"",NA
initstatec,redcap_data,0,initstateC questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbschild""; variable: """"",NA
posttaske,redcap_data,0,posttaskE questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbschild""; variable: """"",NA
initstatec,redcap_data,0,initstateC(e2) questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e2, s2_r1_e2, s3_r1_e2",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbschild""; variable: """"",NA
posttaske,redcap_data,0,posttaskE(e2) questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e2, s2_r1_e2, s3_r1_e2",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbschild""; variable: """"",NA
dyada,redcap_data,0,dyadA questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbschild""; variable: """"",NA
initstated,redcap_data,0,initstateD questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbschild""; variable: """"",NA
posttaskf,redcap_data,0,posttaskF questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbschild""; variable: """"",NA
dyadb,redcap_data,0,dyadB questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbschild""; variable: """"",NA
selfnowa,redcap_data,0,selfnowA(e2) questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e2, s2_r1_e2, s3_r1_e2",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbschild""; variable: """"",NA
infosht,redcap_data,0,INFOSHT questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqsparent""; variable: """"",NA
infosht18m,redcap_data,0,INFOSHT-18M questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqsparent""; variable: """"",NA
txrxa,redcap_data,0,TXRXA questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.",s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqsparent""; variable: """"",NA
txrxa18m,redcap_data,0,TXRXA-18M questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqsparent""; variable: """"",NA
demo_d,redcap_data,0,DEMO (v. D) questionnaire status,,s1_r1_e1,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqsparent""; variable: """"",NA
demo_d2,redcap_data,0,DEMO (v. D2) questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqsparent""; variable: """"",NA
bfnep_b,redcap_data,0,BFNE-P (v. B) questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqsparent""; variable: """"",NA
fpep,redcap_data,0,FPE-P questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqsparent""; variable: """"",NA
spaip,redcap_data,0,SPAI-P questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqsparent""; variable: """"",NA
esip,redcap_data,0,ESI-P questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqsparent""; variable: """"",NA
pscei,redcap_data,0,PSCEI questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqsparent""; variable: """"",NA
dersp,redcap_data,0,DERS-P questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqsparent""; variable: """"",NA
rcadsp,redcap_data,0,RCADS-P questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqsparent""; variable: """"",NA
rpeqp,redcap_data,0,RPEQ-P questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqsparent""; variable: """"",NA
edshvsp,redcap_data,0,EDSHVS-P questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqsparent""; variable: """"",NA
physinfop,redcap_data,0,PHYSINFO-P questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqsparent""; variable: """"",NA
psbp,redcap_data,0,PSB-P questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqsparent""; variable: """"",NA
pdsp,redcap_data,0,PDS-P questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqsparent""; variable: """"",NA
lsasp,redcap_data,0,LSAS-P questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""iqsparent""; variable: """"",NA
eatq,redcap_data,0,EATQ questionnaire status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""{questionnaire name}_complete""!=NULL (indicating participant began questionnaire), otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""bbsparent""; variable: """"",NA
